Unnamed: 0,Unnamed: 1
업체명,사용금액
부여집,40000
왕세수대야냉면,68500
호남손팥칼국수,28000
나주곰탕,30000
왕세수대야냉면,68500
카도야,20000
슬로우보울(뱃살도둑),110900
밥한끼,20000
정남옥,59000
서브웨이,29500
덮,30000
프레퍼스,211200
리앙크리스피롤,18800
레그나 나폴리,139500
조프로감자탕,118000
감나무집,150000
봉추찜닭,40000
킷사서울,97000
예이,289400
뱃살도둑,87400
오봉집,20000
포68,58500
외래향,40000
죠샌드위치,107600
옥천골,40000
석양식당,40000
완산정,23000
오봉집,30000
라이라이켄,20000
백암순대,66000
농장사람들,37000
완산정,60000
프레퍼스,143800
안녕부산,60000
옥천골 추어탕,110000
슬로우보울(뱃살도둑),127700
포68,39500
KFC,19600
도리도리 봉천점,74000
스미비,79500
홍매,78500
조프로감자탕 본점,78000
안녕부산,95000
킷사서울,80000
원조정가네매운갈비찜,80000
어울림정육식당,99900
예이,126700
산골,60000
서브웨이,97600
하우림,60000
연소바,40000
농장사람들,75000
나주곰탕,30000
모리돈부리,30000
떡의작품,29900
어부사시가,10000
서브웨이,68100
가득 한끼,29700
백채,50000
장수우렁불백,54000
길동우동,49700
프레퍼스,58700
카도야라멘,19000
투고샐러드,39600
봉추찜닭,30000
봉추찜닭,30000
옥천골추어탕,60000
그랩,29600
리앙크리스,39100
서브웨이,46500
하우림,40000
미스터육회연어왕,126600
정가네 낙지마당,20000
에그드랍 (서울대입구점),19500
석양식당,60000
원조정가네매운갈비찜,19000
농장사람들,68000
슬로우보울,188100
오봉집,40000
진우리참치,34000
롯데리아,68500
(외근)맛있는초밥집,57000
쥬벤쿠바,80000
백소정,20000
남도해물요리전문점,149500
예이,306400
코코미,80000
나인온스낙성대점,80500
마녀김밥,8600
호남손팥칼국수,66000
안녕부산,20000
서브웨이,197900
샐그릿,102600
석양식당,20000
마녀김밥,9500
모박사 부대찌개 코엑스몰,46000
연소바,59500
삼차,40000
차오멘짬뽕,70000
왕세수대야냉면,30000
마녀김밥,28000
서브웨이,52500
서브웨이,68800
킹콩부대찌개(화성온석리점),48000
본죽카페,40000
한식밥상,88000
모다모다,38000
김쵸,30000
써브웨이,29800
석양식당,50000
왕세수대야냉면,61000
퀴즈노스,140400
포케올데이,30000
카도야,50000
서브웨이,39000
시드니스테이크,77800
별이오름,119300
레그나 나폴리,99500
조프로감자탕,149000
육회한날연어어때,178100
초이다이닝,80000
이삭토스트,46200
심통난초밥,99100
오봉집,30000
GS25,9800
서브웨이,20000
리앙크리스피롤,20000
샐러디,151400
석양식당,30000
분짜하노이,49500
농장사람들,38000
가마구이찌,9900
명태어장,30000
바로덮밥앤파스타,178200
뱃살도둑,9900
구포국수,27000
어울림정육식당,37000
외래향,40000
가득한끼,19800
왕세수대야냉면,30000
뱃살도둑,57400
서브웨이,45700
춘리마라탕,40000
백소정,37400
샐그릿,186200
정남옥,9000
완산정,70000
